localidad,total_animales,especie_predominante,total_caninos,total_felinos,total_peligrosos,latitud,longitud
BOSA,1152,CANINO,848,302,83,4.6186,-74.1878
CHAPINERO,263,CANINO,209,54,7,4.6308,-74.0658
ENGATIVA,2217,CANINO,1746,466,113,4.7011,-74.1122
FONTIBON,525,CANINO,458,66,51,4.6728,-74.1444
KENNEDY,2139,CANINO,1580,554,167,4.6281,-74.155
LA CANDELARIA,52,CANINO,36,16,2,4.5964,-74.0739
LOS MARTIRES,110,CANINO,99,10,11,4.6117,-74.0939
SAN CRISTOBAL,798,CANINO,596,200,53,4.5653,-74.0825
SANTA FE,186,CANINO,141,45,20,4.6053,-74.0755
SUBA,1588,CANINO,1223,365,102,4.7565,-74.0826
SUMAPAZ,4,CANINO,3,1,0,4.2417,-74.2481
TEUSAQUILLO,218,CANINO,181,36,10,4.6417,-74.0875
TUNJUELITO,430,CANINO,355,74,42,4.5748,-74.1329
USAQUEN,784,CANINO,662,122,50,4.6944,-74.0306
USME,1533,CANINO,1046,487,154,4.4825,-74.1284
